b_newjoy;New Joy;;;;;;;;;;;;;x
b_gorinir;Gorinir;;;;;;;;;;;;;x
b_aalto;Aalto;;;;;;;;;;;;;x
b_sphinxmoth;Sphinxmoth;;;;;;;;;;;;;x
b_fardirsfolly;Fardir's Folly;;;;;;;;;;;;;x
b_path_lily;Path of the Lily;;;;;;;;;;;;;x
b_dead_water;Dead-Water;;;;;;;;;;;;;x
b_dawnshadow;Dawnshadow;;;;;;;;;;;;;x
b_deepswamp;Deepswamp;;;;;;;;;;;;;x
b_echoing_hollow;Echoing Hollow;;;;;;;;;;;;;x
b_sapiarchs;College of Sapiarchs;;;;;;;;;;;;;x
b_reliquary_of_stars;Reliquary of Stars;;;;;;;;;;;;;x
b_bouldertree;Bouldertree;;;;;;;;;;;;;x
b_two_moon_path;Two Moon Path;;;;;;;;;;;;;x
b_sollicish;Sollicish-on-Ker;;;;;;;;;;;;;x
b_leafwater;Leafwater;;;;;;;;;;;;;x
b_khazgur;Mor Khazgur;;;;;;;;;;;;;x
b_coffinrest;Coffinrest;;;;;;;;;;;;;x
b_sentinel_city;Sentinel;;;;;;;;;;;;;x
b_xinchei_konu;Xinchei-Konu;;;;;;;;;;;;;x
b_bogmother;Bogmother;;;;;;;;;;;;;x
b_xal_ithix;Xal Ithix;;;;;;;;;;;;;x
b_tenmorvuk;Ten-Maur-Wolk;;;;;;;;;;;;;x
b_xal_haj_ei;Xal Haj-Ei;;;;;;;;;;;;;x
b_broken_tusk;Broken Tusk;;;;;;;;;;;;;x
b_xal_thak;Xal Thak;;;;;;;;;;;;;x
b_tripe_circle;Tripe Circle;;;;;;;;;;;;;x
b_tura;Tura;;;;;;;;;;;;;x
b_onkobra;Onkobra;;;;;;;;;;;;;x
b_stveloth;Saint Veloth;;;;;;;;;;;;;x
b_deepcrag;Deepcrag;;;;;;;;;;;;;x
b_selfora;Selfora;;;;;;;;;;;;;x
b_llugwych;Llugwych;;;;;;;;;;;;;x
b_eidolon;Eidolon's Hollow;;;;;;;;;;;;;x
b_taleon;Taleon;;;;;;;;;;;;;x
b_darkshade;Darkshade;;;;;;;;;;;;;x
b_silent_mire;Silent Mire;;;;;;;;;;;;;x
b_taldeic;Tal'Deic;;;;;;;;;;;;;x
b_volunidai;Volunidai;;;;;;;;;;;;;x
b_coiled;Coiled Path;;;;;;;;;;;;;x
b_siltreen;Siltreen Sanitary Mortuary;;;;;;;;;;;;;x
b_knife_ear;Knife Ear Grotto;;;;;;;;;;;;;x
b_percolating;Percolating Mire;;;;;;;;;;;;;x
b_shortusk;Shortusk Hillock;;;;;;;;;;;;;x
b_mzithumz;Mzithumz;;;;;;;;;;;;;x
b_berezans;Berezans;;;;;;;;;;;;;x
b_shad_astula;Shad Astula;;;;;;;;;;;;;x
