c_darissa;Darissa;;;;;;;;;;;;;x
c_darissa_adj;Darissa;;;;;;;;;;;;;x
c_abbarbas;Abbarbas;;;;;;;;;;;;;x
c_abbarbas_adj;Abbarbian;;;;;;;;;;;;;x
c_abdir;Abdir;;;;;;;;;;;;;x
c_abdir_adj;Abdirian;;;;;;;;;;;;;x
c_bouldertree;Bouldertree;;;;;;;;;;;;;x
c_bouldertree_adj;Bouldertreen;;;;;;;;;;;;;x
c_abidon;Abibon-Gora;;;;;;;;;;;;;x
c_abidon_adj;Abibonean;;;;;;;;;;;;;x
c_acacyn;Acacyn;;;;;;;;;;;;;x
c_acacyn_adj;Acacynnic;;;;;;;;;;;;;x
c_adhisar;Adhisar;;;;;;;;;;;;;x
c_adhisar_adj;Adhisar;;;;;;;;;;;;;x
c_adurin;Adurin;;;;;;;;;;;;;x
c_vandor;Vandor;;;;;;;;;;;;;x
c_vandor_adj;Vandorian;;;;;;;;;;;;;x
c_thalo;Thalo;;;;;;;;;;;;;x
c_thalo_adj;Thalian;;;;;;;;;;;;;x
c_kore;Kore;;;;;;;;;;;;;x
c_kore_adj;Korian;;;;;;;;;;;;;x
c_clothos;Clothos;;;;;;;;;;;;;x
c_clothos_adj;Clothian;;;;;;;;;;;;;x
c_bleakrock;Bleakrock;;;;;;;;;;;;;x
c_bleakrock_adj;Bleakrocker;;;;;;;;;;;;;x
c_kenarthi;Kenarthi's Roost;;;;;;;;;;;;;x
c_kenarthi_adj;Kenarthian;;;;;;;;;;;;;x
c_gorne;Gorne;;;;;;;;;;;;;x
c_gorne_adj;Gornen;;;;;;;;;;;;;x
c_asil_yelir;Asil Yelir;;;;;;;;;;;;;x
c_asil_yelir_adj;Yelirian;;;;;;;;;;;;;x
c_klithi;Klithi;;;;;;;;;;;;;x
c_klithi_adj;Klithian;;;;;;;;;;;;;x
c_arranha;Arranbu;;;;;;;;;;;;;x
c_arranha_adj;Arranbian;;;;;;;;;;;;;x
c_kardesh;Kardesh;;;;;;;;;;;;;x
c_kardesh_adj;Kardeshi;;;;;;;;;;;;;x
c_zamunda;Zamunda;;;;;;;;;;;;;x
c_zamunda_adj;Zamundan;;;;;;;;;;;;;x
c_nakan;Nakan;;;;;;;;;;;;;x
c_nakan_adj;Nakani;;;;;;;;;;;;;x
c_bahia;Bahia;;;;;;;;;;;;;x
c_bahia_adj;Bahian;;;;;;;;;;;;;x
c_moni;Moni;;;;;;;;;;;;;x
c_moni_adj;Monian;;;;;;;;;;;;;x
c_adurin_adj;Adurin;;;;;;;;;;;;;x
c_afyfa;Afyfa;;;;;;;;;;;;;x
c_afyfa_adj;Afyfa;;;;;;;;;;;;;x
c_phrygias;Phyrgias;;;;;;;;;;;;;x
c_phrygias_adj;Phyrgias;;;;;;;;;;;;;x
c_scarstone;Guldun;;;;;;;;;;;;;x
c_scarstone_adj;Guldunic;;;;;;;;;;;;;x
c_hachi;Hachi;;;;;;;;;;;;;x
c_hachi_adj;Hachian;;;;;;;;;;;;;x
c_adurin_adj;Adurinian;;;;;;;;;;;;;x
c_aganna_adj;Agannian;;;;;;;;;;;;;x
c_ahvaz;Ahvaz;;;;;;;;;;;;;x
c_ahvaz_adj;Ahvazzian;;;;;;;;;;;;;x
c_aidhab;Aidhab;;;;;;;;;;;;;x
c_aidhab_adj;Aidhabian;;;;;;;;;;;;;x
c_aikaya;Aikaya;;;;;;;;;;;;;x
c_aikaya_adj;Aikaya;;;;;;;;;;;;;x
c_aikeni;Aikeni;;;;;;;;;;;;;x
c_aikeni_adj;Aikeni;;;;;;;;;;;;;x
c_aimae;Aimae;;;;;;;;;;;;;x
c_aimae_adj;Aimayan;;;;;;;;;;;;;x
c_akeu;Akeu;;;;;;;;;;;;;x
c_akeu_adj;Akeu;;;;;;;;;;;;;x
c_aksana;Aksana;;;;;;;;;;;;;x
c_aksana_adj;Aksana;;;;;;;;;;;;;x
c_akuna;Akuna;;;;;;;;;;;;;x
c_akuna_adj;Akunian;;;;;;;;;;;;;x
c_akrum;Akrum;;;;;;;;;;;;;x
